device,date,sessions,conversions,revenue,bounce_rate,avg_session_duration,conversion_rate,revenue_per_session
Mobile,2024-05-31,240548,6948,652633.1041942115,0.5029417549046696,184.3086136889596,0.028884048090194056,2.713109667069406
Mobile,2024-06-30,231125,7214,631274.4971154027,0.5025328687369557,175.07959599780085,0.031212547322877232,2.7313120480926023
Mobile,2024-07-31,247064,6760,579516.8874362326,0.4897474424923968,190.70630268697016,0.027361331476864294,2.3456144457963632
Mobile,2024-08-31,248809,7153,625947.2105533376,0.5167057230147187,186.694930744827,0.028748960045657513,2.515773989499325
Mobile,2024-09-30,240640,6886,606468.8967261553,0.505097186861275,177.4169379726378,0.02861535904255319,2.5202331147197277
Mobile,2024-10-31,242304,7314,645549.1497374894,0.49714775344425954,179.42384855220294,0.030185221870047543,2.6642116916662104
Mobile,2024-11-30,225507,6883,649443.0879880757,0.4866487237373976,175.61932237990135,0.030522334118231364,2.8799242949800923
Mobile,2024-12-31,240190,6790,588873.7245722107,0.5063946101275202,180.4226704134092,0.028269286814605103,2.451699590208629
Tablet,2023-01-31,238646,6828,628728.5365793463,0.5047355896008859,188.63133155248656,0.02861141607234146,2.6345655765415983
Tablet,2023-02-28,222086,6726,596361.2939492025,0.5090921560471768,180.3890076533978,0.030285565051376494,2.6852718944427045
Tablet,2023-03-31,234260,6767,641825.4218060804,0.5018883938104693,180.13240496727954,0.02888670707760608,2.7397994613082917
Tablet,2023-04-30,244951,7406,682726.843468717,0.49729173838754637,175.7825903631427,0.030234618352241876,2.787197616946724
Tablet,2023-05-31,255934,7975,705010.3528363353,0.5028445816997285,176.19533103814675,0.03116037728476873,2.7546568757427123
Tablet,2023-06-30,228427,6727,589392.9888389603,0.5026148269697077,172.84764454358626,0.029449233234249892,2.580224705656338
Tablet,2023-07-31,256131,7672,672780.4949321536,0.4964794045523563,178.4197572176844,0.02995342227219665,2.626704674296175
Tablet,2023-08-31,236978,6934,618348.0065911828,0.48516189123282577,184.80258286618093,0.029260100093679582,2.6093055329658568
Tablet,2023-09-30,233243,7080,584910.8075913602,0.5032408779351126,181.38369084330955,0.03035460871280167,2.5077314542831304
Tablet,2023-10-31,233730,7155,642974.4363021534,0.4980273745818821,187.0360200570576,0.030612244897959183,2.7509281491556643
Tablet,2023-11-30,222462,6507,592700.3002319273,0.49868251360376165,174.82964490493634,0.029249939315478597,2.664276596595946
Tablet,2023-12-31,237804,6814,635762.9281937907,0.5089527624849521,185.67766506100222,0.0286538493885721,2.6734744924130407
Tablet,2024-01-31,232880,6710,613760.1707438364,0.5060519477177645,171.78295976524439,0.028813122638268636,2.63552117289521
Tablet,2024-02-29,229659,6892,601133.5948713121,0.5061319644557531,182.08397763362512,0.03000971004837607,2.6175050612922295
Tablet,2024-03-31,229994,6783,645737.3256415123,0.5010639291607458,176.20509681091696,0.029492073706270598,2.807626832184806
Tablet,2024-04-30,222788,6890,595447.6527569839,0.49826177443685593,174.98943726383817,0.03092626173761603,2.6727097184632203
Tablet,2024-05-31,245710,7452,676560.1726543556,0.5029702429743472,174.44187171184262,0.030328435961092345,2.753490589126839
Tablet,2024-06-30,238886,7122,671138.7284335314,0.49774246673370626,187.92286473945833,0.029813383789757456,2.8094519077448297
Tablet,2024-07-31,231286,7069,635993.5657326011,0.4989953494140904,174.15703788636512,0.0305638905943291,2.749814367201651
Tablet,2024-08-31,235012,6496,575270.1865204535,0.5007200936791915,175.58969732258782,0.02764114172893299,2.4478332447724096
Tablet,2024-09-30,239739,6857,609421.4360329208,0.5113202928175982,177.82513345375924,0.028601937940844,2.542020430688878
Tablet,2024-10-31,225199,6716,597064.4912150104,0.49341641511453743,179.25871787320568,0.029822512533359383,2.6512750554621043
Tablet,2024-11-30,230705,6561,586852.6265699695,0.49203522384560583,174.74008525340514,0.028438915498146984,2.5437360550051773
Tablet,2024-12-31,246034,6988,642054.6692082164,0.5075260814301885,181.2315984855388,0.028402578505409823,2.6096176512523326
