competitor,date,ranking,search_volume,estimated_traffic,market_share,avg_ranking
Competitor C,2023-03-31,15.864516129032259,268469,9045,0.14899394575489103,15.864516129032259
Competitor C,2023-04-30,15.36,233994,9288,0.14150401422546796,15.36
Competitor C,2023-05-31,15.483870967741936,239819,9166,0.14477076784706688,15.483870967741936
Competitor C,2023-06-30,15.593333333333334,254634,8921,0.1469459820859288,15.593333333333334
Competitor C,2023-07-31,14.587096774193549,248798,8894,0.14608741903543154,14.587096774193549
Competitor C,2023-08-31,15.529032258064516,244187,8492,0.14485155507903374,15.529032258064516
Competitor C,2023-09-30,15.9,233895,7185,0.14110390819038493,15.9
Competitor C,2023-10-31,14.206451612903226,247023,8279,0.14088187698705507,14.206451612903226
Competitor C,2023-11-30,14.313333333333333,231590,7814,0.14743683220041923,14.313333333333333
Competitor C,2023-12-31,16.161290322580644,244449,7097,0.15481302397683294,16.161290322580644
Competitor C,2024-01-31,16.096774193548388,240638,7737,0.1460879279632031,16.096774193548388
Competitor C,2024-02-29,15.613793103448275,247657,8846,0.14932613683723361,15.613793103448275
Competitor C,2024-03-31,15.612903225806452,250783,8347,0.14942438469066985,15.612903225806452
Competitor C,2024-04-30,15.06,245029,8684,0.15033121157815912,15.06
Competitor C,2024-05-31,15.845161290322581,252016,7479,0.14332245523348106,15.845161290322581
Competitor C,2024-06-30,15.22,241129,9742,0.15270630590169526,15.22
Competitor C,2024-07-31,16.038709677419355,250762,6884,0.14220030859630028,16.038709677419355
Competitor C,2024-08-31,15.32258064516129,244943,7583,0.14304464501939015,15.32258064516129
Competitor C,2024-09-30,16.073333333333334,230902,7520,0.14517765823542872,16.073333333333334
Competitor C,2024-10-31,15.2,259183,9120,0.1519571618967796,15.2
Competitor C,2024-11-30,15.733333333333333,243020,6404,0.1476062032277949,15.733333333333333
Competitor C,2024-12-31,14.780645161290323,238504,7955,0.14742723557178342,14.780645161290323
Competitor D,2023-01-31,14.72258064516129,268472,10044,0.1470285347256267,14.72258064516129
Competitor D,2023-02-28,15.514285714285714,239428,8080,0.1484405959012804,15.514285714285714
Competitor D,2023-03-31,15.948387096774194,228081,8692,0.1526586593212922,15.948387096774194
Competitor D,2023-04-30,15.393333333333333,234374,7783,0.1448171159686459,15.393333333333333
Competitor D,2023-05-31,14.838709677419354,229964,7077,0.15382789619581214,14.838709677419354
Competitor D,2023-06-30,15.36,221983,7238,0.15179714191322066,15.36
Competitor D,2023-07-31,15.838709677419354,261089,7589,0.15367236460913172,15.838709677419354
Competitor D,2023-08-31,15.64516129032258,233369,6311,0.14874139759898694,15.64516129032258
Competitor D,2023-09-30,16.94,247432,8099,0.14874739332653591,16.94
Competitor D,2023-10-31,15.69032258064516,260725,7020,0.15021829797164885,15.69032258064516
Competitor D,2023-11-30,15.206666666666667,264869,10525,0.15639955740288763,15.206666666666667
Competitor D,2023-12-31,14.974193548387097,256458,9666,0.1484061184365801,14.974193548387097
Competitor D,2024-01-31,14.593548387096774,271595,10296,0.15014746816957997,14.593548387096774
Competitor D,2024-02-29,16.020689655172415,236977,7413,0.14601652827830408,16.020689655172415
Competitor D,2024-03-31,15.606451612903227,234966,8209,0.1578934866304284,15.606451612903227
Competitor D,2024-04-30,16.286666666666665,242296,8060,0.15484239098941294,16.286666666666665
Competitor D,2024-05-31,15.419354838709678,259202,6935,0.1350268837769413,15.419354838709678
Competitor D,2024-06-30,16.426666666666666,248155,6094,0.1491114045596918,16.426666666666666
Competitor D,2024-07-31,15.69032258064516,243813,6691,0.14558746660196706,15.69032258064516
Competitor D,2024-08-31,16.06451612903226,261070,6381,0.1504301261160164,16.06451612903226
Competitor D,2024-09-30,15.926666666666666,244950,7546,0.15558852308662732,15.926666666666666
Competitor D,2024-10-31,15.948387096774194,244706,8445,0.14917211161119065,15.948387096774194
Competitor D,2024-11-30,14.62,248815,7957,0.1479910944652391,14.62
Competitor D,2024-12-31,17.006451612903227,250027,7028,0.1461248346976274,17.006451612903227
