date,country,location_type,mojo_integration,website_visitors,service_page_views,contact_form_views,contact_form_submits,qualified_leads,project_discussions,contracts_signed
2023-01-05,Australia,Expansion Market,False,3149,1295,351,127,81,46,15
2023-01-05,Croatia,Primary Market,True,3824,2125,791,386,188,106,30
2023-01-06,Germany,Primary Market,True,1499,801,218,57,34,16,3
2023-01-06,Netherlands,Primary Market,True,2893,1444,573,257,106,36,8
2023-01-06,England,Primary Market,True,3979,2765,1004,278,106,61,23
2023-01-06,North America,Expansion Market,False,511,353,145,64,40,12,2
2023-01-06,Australia,Expansion Market,False,1543,931,418,163,71,34,14
2023-01-06,Croatia,Primary Market,True,3546,1603,606,262,122,66,29
2023-01-07,Germany,Primary Market,True,821,403,149,55,31,11,3
2023-01-07,Netherlands,Primary Market,True,2906,1630,357,144,76,32,15
2023-01-07,England,Primary Market,True,3737,1936,747,306,133,62,18
2023-01-07,North America,Expansion Market,False,2057,831,173,61,30,17,5
2023-01-07,Australia,Expansion Market,False,1529,860,321,110,65,36,15
2023-01-07,Croatia,Primary Market,True,599,248,102,31,18,10,2
2023-01-08,Germany,Primary Market,True,3426,1834,575,138,95,36,14
2023-01-08,Netherlands,Primary Market,True,3556,2302,1126,311,162,59,25
2023-01-08,England,Primary Market,True,2141,1496,647,134,49,32,10
2023-01-08,North America,Expansion Market,False,1035,453,115,37,24,8,3
2023-01-08,Australia,Expansion Market,False,1598,1109,361,179,78,48,15
2023-01-08,Croatia,Primary Market,True,1629,1133,438,152,75,25,8
2023-01-09,Germany,Primary Market,True,2022,1409,565,216,115,54,18
2023-01-09,Netherlands,Primary Market,True,3710,1610,563,246,139,62,28
2023-01-09,England,Primary Market,True,2684,1292,282,100,31,16,5
2023-01-09,North America,Expansion Market,False,1317,915,439,87,31,17,3
2023-01-09,Australia,Expansion Market,False,703,381,153,64,42,16,5
2023-01-09,Croatia,Primary Market,True,1903,786,261,99,29,17,6
2023-01-10,Germany,Primary Market,True,1276,664,195,91,28,11,2
2023-01-10,Netherlands,Primary Market,True,3288,1533,558,160,91,49,15
2023-01-10,England,Primary Market,True,2199,926,206,66,21,13,5
2023-01-10,North America,Expansion Market,False,2474,1428,566,256,167,59,28
2023-01-10,Australia,Expansion Market,False,1554,863,190,38,26,8,1
2023-01-10,Croatia,Primary Market,True,2508,1061,254,121,53,27,7
2023-01-11,Germany,Primary Market,True,730,454,104,25,13,4,1
2023-01-11,Netherlands,Primary Market,True,2634,1552,385,139,43,27,5
2023-01-11,England,Primary Market,True,2286,1304,479,186,71,47,12
2023-01-11,North America,Expansion Market,False,2822,1262,535,127,54,29,10
2023-01-11,Australia,Expansion Market,False,2674,1210,601,225,133,74,27
2023-01-11,Croatia,Primary Market,True,1545,780,245,49,32,18,5
2023-01-12,Germany,Primary Market,True,2263,959,198,60,39,25,11
2023-01-12,Netherlands,Primary Market,True,1244,570,243,89,34,22,10
2023-01-12,England,Primary Market,True,1686,908,205,46,28,11,3
2023-01-12,North America,Expansion Market,False,1353,560,152,75,37,15,4
2023-01-12,Australia,Expansion Market,False,2579,1131,295,110,52,30,12
2023-01-12,Croatia,Primary Market,True,3985,1955,447,183,126,76,20
2023-01-13,Germany,Primary Market,True,2422,1606,394,187,78,38,17
2023-01-13,Netherlands,Primary Market,True,1240,592,280,64,20,12,4
2023-01-13,England,Primary Market,True,3219,1433,291,132,62,21,4
2023-01-13,North America,Expansion Market,False,2702,1726,727,183,112,35,13
2023-01-13,Australia,Expansion Market,False,3845,2217,673,281,115,47,15
2023-01-13,Croatia,Primary Market,True,1727,739,164,70,27,11,3
2023-01-14,Germany,Primary Market,True,1176,499,221,103,50,19,7
2023-01-14,Netherlands,Primary Market,True,3677,1955,844,212,113,75,24
2023-01-14,England,Primary Market,True,3808,1697,661,142,44,19,6
2023-01-14,North America,Expansion Market,False,588,261,58,16,5,1,0
2023-01-14,Australia,Expansion Market,False,2176,1088,505,144,51,21,8
2023-01-14,Croatia,Primary Market,True,728,437,125,45,20,12,3
2023-01-15,Germany,Primary Market,True,596,255,117,50,31,15,6
2023-01-15,Netherlands,Primary Market,True,3377,1781,769,356,161,86,39
2023-01-15,England,Primary Market,True,1532,904,297,62,34,22,4
2023-01-15,North America,Expansion Market,False,2739,1107,283,58,24,10,4
2023-01-15,Australia,Expansion Market,False,2001,1036,246,114,67,44,17
2023-01-15,Croatia,Primary Market,True,3922,1834,845,274,176,75,37
2023-01-16,Germany,Primary Market,True,1871,868,213,73,25,9,2
2023-01-16,Netherlands,Primary Market,True,1518,912,184,64,33,16,7
2023-01-16,England,Primary Market,True,977,634,223,53,19,6,1
2023-01-16,North America,Expansion Market,False,3588,2461,505,246,103,49,17
2023-01-16,Australia,Expansion Market,False,2709,1419,633,311,104,62,24
2023-01-16,Croatia,Primary Market,True,811,375,162,73,33,22,10
2023-01-17,Germany,Primary Market,True,2016,1072,240,108,37,16,7
2023-01-17,Netherlands,Primary Market,True,2017,1348,496,160,98,47,11
2023-01-17,England,Primary Market,True,1870,1065,245,54,30,9,2
2023-01-17,North America,Expansion Market,False,2742,1821,418,188,106,40,15
2023-01-17,Australia,Expansion Market,False,2531,1717,407,84,49,15,4
2023-01-17,Croatia,Primary Market,True,2606,1090,464,126,62,34,9
2023-01-18,Germany,Primary Market,True,1822,1130,245,93,55,38,9
2023-01-18,Netherlands,Primary Market,True,2718,1689,502,135,52,34,14
2023-01-18,England,Primary Market,True,1608,847,351,86,54,28,5
2023-01-18,North America,Expansion Market,False,1020,488,219,93,52,22,6
2023-01-18,Australia,Expansion Market,False,2920,1399,583,149,82,49,12
2023-01-18,Croatia,Primary Market,True,3404,1988,616,129,54,34,10
2023-01-19,Germany,Primary Market,True,757,348,106,49,17,9,3
2023-01-19,Netherlands,Primary Market,True,1726,1191,588,189,82,35,8
2023-01-19,England,Primary Market,True,632,306,107,39,12,5,1
2023-01-19,North America,Expansion Market,False,1051,455,110,37,12,5,2
2023-01-19,Australia,Expansion Market,False,2849,1295,383,124,57,25,8
2023-01-19,Croatia,Primary Market,True,2877,1493,697,253,114,77,22
2023-01-20,Germany,Primary Market,True,1221,586,254,126,50,22,10
2023-01-20,Netherlands,Primary Market,True,2012,917,184,49,26,15,7
2023-01-20,England,Primary Market,True,2301,1305,482,146,64,23,8
2023-01-20,North America,Expansion Market,False,3366,1921,468,150,100,53,26
2023-01-20,Australia,Expansion Market,False,2776,1401,599,157,54,22,10
2023-01-20,Croatia,Primary Market,True,1095,589,141,40,24,11,3
2023-01-21,Germany,Primary Market,True,3488,1951,568,259,158,85,33
2023-01-21,Netherlands,Primary Market,True,2729,1398,678,185,67,30,8
2023-01-21,England,Primary Market,True,1587,635,248,56,35,12,3
2023-01-21,North America,Expansion Market,False,2485,1523,455,225,151,64,21
2023-01-21,Australia,Expansion Market,False,923,376,86,29,14,8,1
2023-01-21,Croatia,Primary Market,True,655,347,156,32,13,4,1
2023-01-22,Germany,Primary Market,True,3463,1436,459,124,61,20,8
2023-01-22,Netherlands,Primary Market,True,2718,1756,592,277,111,43,17
2023-01-22,England,Primary Market,True,2069,934,306,111,63,27,11
2023-01-22,North America,Expansion Market,False,2396,1527,627,211,63,23,5
2023-01-22,Australia,Expansion Market,False,3493,1983,571,203,139,42,17
2023-01-22,Croatia,Primary Market,True,1317,540,253,98,65,25,6
2023-01-23,Germany,Primary Market,True,2768,1303,265,126,42,17,7
2023-01-23,Netherlands,Primary Market,True,3181,2205,852,424,285,185,66
2023-01-23,England,Primary Market,True,722,346,169,37,19,12,4
2023-01-23,North America,Expansion Market,False,640,289,86,37,14,6,2
2023-01-23,Australia,Expansion Market,False,3144,1944,683,216,103,46,12
2023-01-23,Croatia,Primary Market,True,1988,956,381,110,62,30,13
2023-01-24,Germany,Primary Market,True,3168,2079,836,266,180,75,24
2023-01-24,Netherlands,Primary Market,True,830,519,244,65,41,28,6
2023-01-24,England,Primary Market,True,3179,1882,810,256,130,79,20
2023-01-24,North America,Expansion Market,False,2318,1418,693,336,175,72,27
2023-01-24,Australia,Expansion Market,False,844,412,115,34,23,13,4
2023-01-24,Croatia,Primary Market,True,1384,666,263,93,39,23,5
2023-01-25,Germany,Primary Market,True,1197,610,302,123,41,26,7
2023-01-25,Netherlands,Primary Market,True,3115,2079,834,379,226,148,47
2023-01-25,England,Primary Market,True,3727,1833,397,113,46,26,9
2023-01-25,North America,Expansion Market,False,3780,2154,699,200,64,23,7
2023-01-25,Australia,Expansion Market,False,3813,1944,900,379,143,78,18
2023-01-25,Croatia,Primary Market,True,1791,861,183,58,37,19,7
2023-01-26,Germany,Primary Market,True,3694,2484,585,187,62,43,10
2023-01-26,Netherlands,Primary Market,True,1551,712,297,130,47,20,7
2023-01-26,England,Primary Market,True,2716,1109,538,266,140,56,20
2023-01-26,North America,Expansion Market,False,689,294,84,18,5,1,0
2023-01-26,Australia,Expansion Market,False,3366,1478,436,106,52,22,10
2023-01-26,Croatia,Primary Market,True,1499,907,199,49,18,11,4
2023-01-27,Germany,Primary Market,True,2310,1422,630,296,113,40,12
2023-01-27,Netherlands,Primary Market,True,2142,930,438,218,86,35,15
2023-01-27,England,Primary Market,True,671,270,120,51,24,13,5
2023-01-27,North America,Expansion Market,False,3196,1659,710,162,65,30,10
2023-01-27,Australia,Expansion Market,False,3226,1972,611,283,92,29,13
2023-01-27,Croatia,Primary Market,True,974,590,203,82,51,22,5
2023-01-28,Germany,Primary Market,True,3594,2492,1168,256,165,113,46
2023-01-28,Netherlands,Primary Market,True,1369,871,395,93,56,35,14
2023-01-28,England,Primary Market,True,1687,917,237,99,66,34,8
2023-01-28,North America,Expansion Market,False,889,475,186,38,21,11,3
2023-01-28,Australia,Expansion Market,False,2322,1171,266,123,49,19,8
2023-01-28,Croatia,Primary Market,True,1214,599,169,42,13,4,1
2023-01-29,Germany,Primary Market,True,3172,2113,599,138,87,41,13
2023-01-29,Netherlands,Primary Market,True,724,502,129,37,16,6,2
2023-01-29,England,Primary Market,True,2646,1117,510,135,89,30,13
2023-01-29,North America,Expansion Market,False,3870,2073,767,181,71,41,12
2023-01-29,Australia,Expansion Market,False,2908,1388,459,179,90,61,25
2023-01-29,Croatia,Primary Market,True,1231,719,236,105,69,42,20
2023-01-30,Germany,Primary Market,True,1965,1040,383,101,63,27,8
2023-01-30,Netherlands,Primary Market,True,2481,1583,572,129,50,23,7
2023-01-30,England,Primary Market,True,3854,2470,914,290,164,50,20
2023-01-30,North America,Expansion Market,False,1479,897,425,172,103,34,13
2023-01-30,Australia,Expansion Market,False,1600,677,313,101,50,27,6
2023-01-30,Croatia,Primary Market,True,2840,1380,442,91,35,19,7
2023-01-31,Germany,Primary Market,True,3832,2040,460,94,49,17,3
2023-01-31,Netherlands,Primary Market,True,3511,2265,891,421,242,150,70
2023-01-31,England,Primary Market,True,2135,1013,202,44,26,16,6
2023-01-31,North America,Expansion Market,False,3186,1305,441,204,136,43,18
2023-01-31,Australia,Expansion Market,False,2607,1047,468,117,41,15,6
2023-01-31,Croatia,Primary Market,True,2475,1592,763,352,236,133,47
2023-02-01,Germany,Primary Market,True,1890,976,307,141,56,34,13
2023-02-01,Netherlands,Primary Market,True,3468,2046,988,438,204,129,56
2023-02-01,England,Primary Market,True,3771,1929,529,244,150,74,27
2023-02-01,North America,Expansion Market,False,1776,850,185,64,42,22,10
2023-02-01,Australia,Expansion Market,False,940,495,148,44,29,12,4
2023-02-01,Croatia,Primary Market,True,2045,1214,571,159,96,49,20
2023-02-02,Germany,Primary Market,True,2385,1147,417,182,95,36,8
2023-02-02,Netherlands,Primary Market,True,2327,992,390,133,53,24,8
2023-02-02,England,Primary Market,True,1856,882,398,142,98,50,23
2023-02-02,North America,Expansion Market,False,2849,1440,324,102,48,21,10
2023-02-02,Australia,Expansion Market,False,1591,972,232,88,59,23,7
2023-02-02,Croatia,Primary Market,True,3386,1815,632,172,112,77,38
2023-02-03,Germany,Primary Market,True,3998,2378,709,176,55,26,12
2023-02-03,Netherlands,Primary Market,True,2869,1645,556,247,151,56,27
2023-02-03,England,Primary Market,True,2085,1093,328,103,65,41,8
2023-02-03,North America,Expansion Market,False,2779,1915,537,136,69,36,11
2023-02-03,Australia,Expansion Market,False,2626,1054,470,187,75,33,12
2023-02-03,Croatia,Primary Market,True,588,358,119,32,9,4,1
2023-02-04,Germany,Primary Market,True,1527,1040,449,96,55,31,10
2023-02-04,Netherlands,Primary Market,True,2536,1334,351,150,100,64,19
2023-02-04,England,Primary Market,True,2811,1270,370,109,72,36,10
2023-02-04,North America,Expansion Market,False,2816,1721,407,133,66,40,18
2023-02-04,Australia,Expansion Market,False,665,431,144,57,21,13,5
2023-02-04,Croatia,Primary Market,True,2131,1428,696,219,144,81,26
2023-02-05,Germany,Primary Market,True,1265,874,247,118,45,24,6
2023-02-05,Netherlands,Primary Market,True,1061,508,201,90,51,32,11
2023-02-05,England,Primary Market,True,2411,1554,640,175,91,30,9
2023-02-05,North America,Expansion Market,False,2050,1039,302,109,39,12,4
2023-02-05,Australia,Expansion Market,False,1770,920,402,184,92,39,9
2023-02-05,Croatia,Primary Market,True,1951,951,201,92,44,23,5
2023-02-06,Germany,Primary Market,True,1403,853,181,82,47,23,10
2023-02-06,Netherlands,Primary Market,True,3895,1737,546,109,63,31,7
2023-02-06,England,Primary Market,True,3104,2066,550,142,63,32,8
2023-02-06,North America,Expansion Market,False,1735,876,303,99,35,19,5
2023-02-06,Australia,Expansion Market,False,2915,1754,742,166,87,39,8
2023-02-06,Croatia,Primary Market,True,2193,1357,551,217,147,99,29
2023-02-07,Germany,Primary Market,True,1673,883,360,162,60,19,7
2023-02-07,Netherlands,Primary Market,True,2956,1525,624,200,104,71,25
2023-02-07,England,Primary Market,True,3997,1913,922,292,133,53,17
2023-02-07,North America,Expansion Market,False,1474,761,181,42,28,14,6
2023-02-07,Australia,Expansion Market,False,3675,2567,953,469,243,104,41
2023-02-07,Croatia,Primary Market,True,724,303,87,17,7,2,0
2023-02-08,Germany,Primary Market,True,3567,2201,1029,355,160,71,19
2023-02-08,Netherlands,Primary Market,True,1127,457,120,47,25,7,1
2023-02-08,England,Primary Market,True,1045,638,197,98,40,14,3
2023-02-08,North America,Expansion Market,False,3574,2033,900,440,304,146,33
2023-02-08,Australia,Expansion Market,False,2351,1203,452,201,77,51,20
2023-02-08,Croatia,Primary Market,True,3020,1607,611,173,56,28,8
2023-02-09,Germany,Primary Market,True,3018,1496,418,87,35,16,4
2023-02-09,Netherlands,Primary Market,True,3868,2226,946,196,106,55,13
2023-02-09,England,Primary Market,True,3288,2292,846,370,221,72,20
2023-02-09,North America,Expansion Market,False,1699,963,409,171,98,42,11
2023-02-09,Australia,Expansion Market,False,2721,1194,414,175,74,29,6
2023-02-09,Croatia,Primary Market,True,3590,2417,1148,371,228,105,26
2023-02-10,Germany,Primary Market,True,1988,1331,412,130,60,22,9
2023-02-10,Netherlands,Primary Market,True,683,368,89,21,9,4,1
2023-02-10,England,Primary Market,True,3923,2516,528,179,114,64,21
2023-02-10,North America,Expansion Market,False,3528,2211,462,148,89,46,16
2023-02-10,Australia,Expansion Market,False,2474,1309,414,192,84,29,13
2023-02-10,Croatia,Primary Market,True,665,350,94,20,7,4,1
2023-02-11,Germany,Primary Market,True,2318,1043,493,138,76,45,20
2023-02-11,Netherlands,Primary Market,True,1218,770,350,103,31,10,3
2023-02-11,England,Primary Market,True,2794,1749,873,262,89,33,15
2023-02-11,North America,Expansion Market,False,2156,1136,298,141,94,39,8
2023-02-11,Australia,Expansion Market,False,3288,2075,724,305,152,82,18
2023-02-11,Croatia,Primary Market,True,2881,1883,686,150,84,25,9
2023-02-12,Germany,Primary Market,True,3511,1800,744,320,197,87,32
2023-02-12,Netherlands,Primary Market,True,3032,1999,951,316,131,70,33
2023-02-12,England,Primary Market,True,1021,594,288,112,49,17,4
2023-02-12,North America,Expansion Market,False,963,432,86,17,7,4,1
2023-02-12,Australia,Expansion Market,False,3394,1858,691,312,142,59,22
2023-02-12,Croatia,Primary Market,True,1799,971,472,177,107,34,6
2023-02-13,Germany,Primary Market,True,2501,1254,413,103,49,30,13
2023-02-13,Netherlands,Primary Market,True,842,522,223,83,49,18,8
2023-02-13,England,Primary Market,True,2355,1267,335,106,46,30,6
2023-02-13,North America,Expansion Market,False,3161,1870,722,245,165,60,13
2023-02-13,Australia,Expansion Market,False,3160,1944,890,239,92,40,14
2023-02-13,Croatia,Primary Market,True,1919,790,336,71,21,10,4
2023-02-14,Germany,Primary Market,True,3950,2004,707,226,83,26,7
2023-02-14,Netherlands,Primary Market,True,3702,2268,868,257,178,72,14
2023-02-14,England,Primary Market,True,3708,1967,602,281,121,73,29
2023-02-14,North America,Expansion Market,False,3143,2019,985,489,158,52,15
2023-02-14,Australia,Expansion Market,False,1245,771,190,88,42,19,6
2023-02-14,Croatia,Primary Market,True,2882,1494,387,180,68,24,10
2023-02-15,Germany,Primary Market,True,2806,1610,489,109,56,19,5
2023-02-15,Netherlands,Primary Market,True,2136,1226,392,176,84,36,11
2023-02-15,England,Primary Market,True,1013,483,149,55,30,19,5
2023-02-15,North America,Expansion Market,False,2931,1227,601,211,84,43,15
2023-02-15,Australia,Expansion Market,False,3439,1475,562,172,100,36,12
2023-02-15,Croatia,Primary Market,True,2644,1169,253,57,23,13,4
2023-02-16,Germany,Primary Market,True,2850,1594,434,143,58,32,14
2023-02-16,Netherlands,Primary Market,True,2557,1264,547,178,97,59,15
2023-02-16,England,Primary Market,True,1061,623,146,43,13,8,3
2023-02-16,North America,Expansion Market,False,3694,1993,566,202,134,85,40
2023-02-16,Australia,Expansion Market,False,3304,1726,369,109,34,15,4
2023-02-16,Croatia,Primary Market,True,3730,2008,589,177,100,49,10
2023-02-17,Germany,Primary Market,True,1359,577,117,53,32,21,6
2023-02-17,Netherlands,Primary Market,True,2824,1867,820,340,105,51,22
2023-02-17,England,Primary Market,True,1546,749,277,83,47,18,4
2023-02-17,North America,Expansion Market,False,2245,1366,350,109,60,41,18
2023-02-17,Australia,Expansion Market,False,776,530,173,83,35,18,4
2023-02-17,Croatia,Primary Market,True,3198,1719,344,168,69,27,11
2023-02-18,Germany,Primary Market,True,1260,528,122,30,17,9,3
2023-02-18,Netherlands,Primary Market,True,1067,596,126,54,17,6,2
2023-02-18,England,Primary Market,True,1971,993,416,101,60,41,19
2023-02-18,North America,Expansion Market,False,3681,1848,550,230,112,39,14
2023-02-18,Australia,Expansion Market,False,1459,910,411,154,65,37,12
2023-02-18,Croatia,Primary Market,True,1460,959,224,74,40,25,11
2023-02-19,Germany,Primary Market,True,3919,1931,691,334,126,41,15
2023-02-19,Netherlands,Primary Market,True,2012,895,200,60,19,10,3
2023-02-19,England,Primary Market,True,722,295,122,34,21,12,2
2023-02-19,North America,Expansion Market,False,1821,884,285,61,34,13,5
2023-02-19,Australia,Expansion Market,False,3963,2162,878,256,131,55,13
2023-02-19,Croatia,Primary Market,True,2509,1119,527,201,65,23,11
2023-02-20,Germany,Primary Market,True,1580,744,307,108,62,24,7
2023-02-20,Netherlands,Primary Market,True,2434,1633,388,132,44,13,4
2023-02-20,England,Primary Market,True,1237,666,185,45,15,10,2
2023-02-20,North America,Expansion Market,False,2923,1432,607,258,109,58,15
2023-02-20,Australia,Expansion Market,False,1271,666,145,44,21,8,3
2023-02-20,Croatia,Primary Market,True,2100,1190,550,188,92,51,23
2023-02-21,Germany,Primary Market,True,2472,1059,350,104,35,20,4
2023-02-21,Netherlands,Primary Market,True,1279,843,368,79,29,19,9
2023-02-21,England,Primary Market,True,2710,1631,546,225,120,55,14
2023-02-21,North America,Expansion Market,False,3830,2660,795,161,102,63,17
2023-02-21,Australia,Expansion Market,False,791,367,76,27,15,10,3
2023-02-21,Croatia,Primary Market,True,1810,1149,527,254,135,46,19
2023-02-22,Germany,Primary Market,True,2081,1257,583,235,147,61,29
2023-02-22,Netherlands,Primary Market,True,1507,1016,219,62,37,25,11
2023-02-22,England,Primary Market,True,1118,526,204,65,35,15,3
2023-02-22,North America,Expansion Market,False,3122,2178,666,223,111,53,11
2023-02-22,Australia,Expansion Market,False,2572,1741,510,206,83,55,11
2023-02-22,Croatia,Primary Market,True,1690,732,361,140,90,39,10
2023-02-23,Germany,Primary Market,True,1458,747,254,77,31,9,4
2023-02-23,Netherlands,Primary Market,True,2314,1258,585,152,57,36,12
2023-02-23,England,Primary Market,True,2395,1606,532,153,63,42,16
2023-02-23,North America,Expansion Market,False,1611,843,259,94,33,20,6
2023-02-23,Australia,Expansion Market,False,1051,717,244,50,32,13,5
2023-02-23,Croatia,Primary Market,True,3591,2034,787,286,163,97,36
2023-02-24,Germany,Primary Market,True,777,455,144,40,19,8,2
2023-02-24,Netherlands,Primary Market,True,833,411,156,76,45,25,12
2023-02-24,England,Primary Market,True,2265,1126,367,151,48,26,11
2023-02-24,North America,Expansion Market,False,2101,1454,551,136,55,19,6
2023-02-24,Australia,Expansion Market,False,1653,1050,320,78,36,24,7
2023-02-24,Croatia,Primary Market,True,2761,1278,257,110,50,15,6
2023-02-25,Germany,Primary Market,True,2498,1041,253,72,48,30,12
2023-02-25,Netherlands,Primary Market,True,2588,1310,586,139,51,33,15
2023-02-25,England,Primary Market,True,2828,1930,793,323,108,51,17
2023-02-25,North America,Expansion Market,False,608,274,100,33,22,14,5
2023-02-25,Australia,Expansion Market,False,1893,1263,341,72,49,28,6
2023-02-25,Croatia,Primary Market,True,2569,1252,267,80,36,16,7
2023-02-26,Germany,Primary Market,True,1053,559,172,64,26,11,3
2023-02-26,Netherlands,Primary Market,True,3590,1807,820,262,151,71,31
2023-02-26,England,Primary Market,True,1696,1080,416,127,62,21,7
2023-02-26,North America,Expansion Market,False,1038,587,203,41,27,13,3
2023-02-26,Australia,Expansion Market,False,3334,1850,563,192,98,50,24
2023-02-26,Croatia,Primary Market,True,2139,1006,414,127,74,34,9
2023-02-27,Germany,Primary Market,True,1033,514,227,87,27,13,6
2023-02-27,Netherlands,Primary Market,True,686,343,135,63,41,16,6
2023-02-27,England,Primary Market,True,2537,1171,396,153,52,27,13
2023-02-27,North America,Expansion Market,False,3137,1416,435,107,39,18,8
2023-02-27,Australia,Expansion Market,False,1492,753,285,130,63,20,5
2023-02-27,Croatia,Primary Market,True,2046,911,450,199,83,48,14
2023-02-28,Germany,Primary Market,True,2648,1550,624,309,94,55,25
2023-02-28,Netherlands,Primary Market,True,1988,1080,463,112,75,44,16
2023-02-28,England,Primary Market,True,1269,606,122,48,22,9,3
2023-02-28,North America,Expansion Market,False,802,495,224,76,30,18,7
2023-02-28,Australia,Expansion Market,False,1795,772,235,83,45,21,6
2023-02-28,Croatia,Primary Market,True,1635,1100,285,133,81,40,16
2023-03-01,Germany,Primary Market,True,2508,1241,563,129,75,42,9
2023-03-01,Netherlands,Primary Market,True,817,362,171,81,37,16,4
2023-03-01,England,Primary Market,True,3518,2404,581,131,44,20,4
2023-03-01,North America,Expansion Market,False,2266,1357,399,149,45,14,4
2023-03-01,Australia,Expansion Market,False,2247,1346,464,183,113,75,26
2023-03-01,Croatia,Primary Market,True,3768,2563,702,156,100,44,17
2023-03-02,Germany,Primary Market,True,3538,1753,771,172,104,57,17
2023-03-02,Netherlands,Primary Market,True,1159,751,192,39,11,4,1
2023-03-02,England,Primary Market,True,1891,1089,467,191,120,47,14
2023-03-02,North America,Expansion Market,False,2360,1174,576,271,133,52,23
2023-03-02,Australia,Expansion Market,False,3337,2173,853,227,79,52,13
2023-03-02,Croatia,Primary Market,True,957,435,138,46,26,12,5
2023-03-03,Germany,Primary Market,True,1185,620,306,61,23,8,2
2023-03-03,Netherlands,Primary Market,True,3099,1331,620,289,95,51,17
2023-03-03,England,Primary Market,True,1871,879,351,146,75,35,9
2023-03-03,North America,Expansion Market,False,2681,1804,618,155,47,29,8
2023-03-03,Australia,Expansion Market,False,3063,1864,858,298,151,88,27
2023-03-03,Croatia,Primary Market,True,2705,1442,441,153,92,28,11
2023-03-04,Germany,Primary Market,True,2933,1692,616,139,59,22,8
2023-03-04,Netherlands,Primary Market,True,2698,1331,365,157,79,25,5
2023-03-04,England,Primary Market,True,2931,1977,878,359,173,102,41
2023-03-04,North America,Expansion Market,False,2800,1298,459,103,39,26,6
2023-03-04,Australia,Expansion Market,False,1050,588,175,43,16,8,3
2023-03-04,Croatia,Primary Market,True,2027,1000,496,237,79,40,12
2023-03-05,Germany,Primary Market,True,3139,1821,472,217,114,65,31
2023-03-05,Netherlands,Primary Market,True,2910,1346,396,83,37,14,3
2023-03-05,England,Primary Market,True,1761,1187,586,177,87,60,17
2023-03-05,North America,Expansion Market,False,3258,1615,505,154,73,21,7
2023-03-05,Australia,Expansion Market,False,927,581,287,136,54,20,6
2023-03-05,Croatia,Primary Market,True,2864,1886,754,228,124,39,19
2023-03-06,Germany,Primary Market,True,1455,736,259,53,22,12,5
2023-03-06,Netherlands,Primary Market,True,2429,1469,620,214,145,55,22
2023-03-06,England,Primary Market,True,2753,1686,634,160,98,34,10
2023-03-06,North America,Expansion Market,False,805,393,179,87,36,24,5
2023-03-06,Australia,Expansion Market,False,3990,2163,646,204,111,56,23
2023-03-06,Croatia,Primary Market,True,1742,1207,313,117,44,27,9
2023-03-07,Germany,Primary Market,True,1766,1089,297,130,64,43,18
2023-03-07,Netherlands,Primary Market,True,2189,970,307,139,81,46,15
2023-03-07,England,Primary Market,True,1204,817,332,122,40,22,8
2023-03-07,North America,Expansion Market,False,2869,1508,669,220,106,62,23
2023-03-07,Australia,Expansion Market,False,3837,2056,755,216,102,67,22
2023-03-07,Croatia,Primary Market,True,3733,2262,484,209,68,34,15
2023-03-08,Germany,Primary Market,True,2002,827,296,143,44,28,9
2023-03-08,Netherlands,Primary Market,True,3881,1707,837,278,176,101,49
