date,country,location_type,sessions,users,pageviews,revenue,organic_traffic,paid_traffic,sessions_ma_7d,sessions_ma_30d
2023-01-12,Germany,Primary Market,1428,1159,2474,35778.26938435466,756,672,2248.714285714286,
2023-01-12,Netherlands,Primary Market,2059,1685,4698,60645.25613524129,914,1145,1390.857142857143,
2023-01-12,North America,Expansion Market,669,575,1553,20103.318977639246,316,353,1520.4285714285713,
2023-01-13,Australia,Expansion Market,1417,1130,3526,44390.262542114535,671,746,1457.0,
2023-01-13,Croatia,Primary Market,1173,967,2810,35944.72596182286,566,607,1502.857142857143,
2023-01-13,England,Primary Market,683,576,1227,17145.325978244004,378,305,1002.8571428571429,
2023-01-13,Germany,Primary Market,2349,1919,6029,55451.70333452546,1228,1121,2272.714285714286,
2023-01-13,Netherlands,Primary Market,1029,777,2074,40542.81898753783,572,457,1393.142857142857,
2023-01-13,North America,Expansion Market,2078,1681,4943,69885.79194881508,1031,1047,1628.7142857142858,
2023-01-14,Australia,Expansion Market,2335,1907,5924,90788.84353643219,1110,1225,1410.7142857142858,
2023-01-14,Croatia,Primary Market,2590,2059,6289,71914.53594580076,1484,1106,1626.2857142857142,
2023-01-14,England,Primary Market,1702,1404,4258,37509.06881873696,779,923,1072.142857142857,
2023-01-14,Germany,Primary Market,2003,1593,4021,43270.96034764042,1038,965,2229.1428571428573,
2023-01-14,Netherlands,Primary Market,969,771,1968,17273.522906168375,510,459,1368.5714285714287,
2023-01-14,North America,Expansion Market,2905,2222,5167,68528.32730184474,1335,1570,1781.857142857143,
2023-01-15,Australia,Expansion Market,2203,1730,4759,57587.625434477144,1010,1193,1502.5714285714287,
2023-01-15,Croatia,Primary Market,2816,2140,5551,93237.07919711857,1330,1486,1803.857142857143,
2023-01-15,England,Primary Market,1932,1699,4637,71447.79499508676,1027,905,1145.857142857143,
2023-01-15,Germany,Primary Market,4150,3094,9322,136492.33026547966,2220,1930,2152.1428571428573,
2023-01-15,Netherlands,Primary Market,2896,2270,6637,134092.4578863993,1548,1348,1496.142857142857,
2023-01-15,North America,Expansion Market,2178,1729,5389,44211.39344970517,954,1224,1803.857142857143,
2023-01-16,Australia,Expansion Market,1208,941,2499,44757.57179708251,597,611,1516.142857142857,
2023-01-16,Croatia,Primary Market,725,599,1428,26589.21162121124,397,328,1701.0,
2023-01-16,England,Primary Market,384,291,916,14532.20888385594,206,178,1060.0,
2023-01-16,Germany,Primary Market,2592,2130,6524,68685.88564350043,1343,1249,2272.0,
2023-01-16,Netherlands,Primary Market,2074,1589,5053,45553.31170296088,1015,1059,1664.857142857143,
2023-01-16,North America,Expansion Market,1689,1304,3656,70676.7700974298,870,819,1857.7142857142858,
2023-01-17,Australia,Expansion Market,1082,902,2809,44402.7927280939,616,466,1466.2857142857142,
2023-01-17,Croatia,Primary Market,986,721,2355,16396.71312567536,555,431,1618.142857142857,
2023-01-17,England,Primary Market,433,327,783,21160.935342108845,214,219,1012.0,
2023-01-17,Germany,Primary Market,2700,2121,6567,75368.32459993532,1505,1195,2398.0,
2023-01-17,Netherlands,Primary Market,1135,889,2259,42387.28009912663,585,550,1621.5714285714287,
2023-01-17,North America,Expansion Market,1383,1212,3617,54383.21816859921,691,692,1828.7142857142858,
2023-01-18,Australia,Expansion Market,1335,1011,2834,42154.882631255125,557,778,1572.142857142857,
2023-01-18,Croatia,Primary Market,1305,1030,2823,34679.554735087164,557,748,1597.0,
2023-01-18,England,Primary Market,836,737,2187,20651.317140429062,443,393,996.5714285714286,
2023-01-18,Germany,Primary Market,2191,1788,4502,65748.98388762197,1039,1152,2487.5714285714284,
2023-01-18,Netherlands,Primary Market,1617,1331,3522,49904.76754534178,719,898,1682.7142857142858,
2023-01-18,North America,Expansion Market,1733,1485,3775,50099.246519610424,781,952,1805.0,
2023-01-19,Australia,Expansion Market,778,617,2005,12916.26387673059,435,343,1479.7142857142858,
2023-01-19,Croatia,Primary Market,1205,1002,3051,39355.94857911463,630,575,1542.857142857143,
2023-01-19,England,Primary Market,281,213,771,7699.014341351942,145,136,893.0,
2023-01-19,Germany,Primary Market,1791,1401,3727,45843.88107728837,832,959,2539.4285714285716,
2023-01-19,Netherlands,Primary Market,968,832,2212,38454.1600075435,494,474,1526.857142857143,
2023-01-19,North America,Expansion Market,1893,1490,3925,73672.9862644616,895,998,1979.857142857143,
2023-01-20,Australia,Expansion Market,663,502,1435,19124.123405705064,318,345,1372.0,
2023-01-20,Croatia,Primary Market,1289,1033,3001,47024.5697044971,657,632,1559.4285714285713,
2023-01-20,England,Primary Market,352,287,765,8531.814878143246,151,201,845.7142857142857,
2023-01-20,Germany,Primary Market,2770,2253,5545,83838.15054601163,1507,1263,2599.5714285714284,
2023-01-20,Netherlands,Primary Market,1367,990,2615,32547.919027270218,625,742,1575.142857142857,
2023-01-20,North America,Expansion Market,1743,1421,3829,66591.90630647917,917,826,1932.0,
2023-01-21,Australia,Expansion Market,1437,1179,3868,34642.104597843325,768,669,1243.7142857142858,
2023-01-21,Croatia,Primary Market,736,565,2096,26636.968726616757,366,370,1294.5714285714287,
2023-01-21,England,Primary Market,1157,980,2348,36876.17575432964,602,555,767.8571428571429,
2023-01-21,Germany,Primary Market,2189,1821,3935,78584.47409165304,975,1214,2626.1428571428573,
2023-01-21,Netherlands,Primary Market,2081,1759,4806,78965.8317928085,1007,1074,1734.0,
2023-01-21,North America,Expansion Market,2089,1673,4578,82621.78885410263,947,1142,1815.4285714285713,
2023-01-22,Australia,Expansion Market,2092,1622,4713,88391.02427138333,1123,969,1227.857142857143,
2023-01-22,Croatia,Primary Market,1361,995,3420,25583.78010606272,672,689,1086.7142857142858,
2023-01-22,England,Primary Market,1403,1038,4052,23252.762474254956,727,676,692.2857142857143,
2023-01-22,Germany,Primary Market,1926,1664,4763,30528.290513030395,827,1099,2308.4285714285716,
2023-01-22,Netherlands,Primary Market,1345,1181,3702,17939.14015393288,715,630,1512.4285714285713,
2023-01-22,North America,Expansion Market,2400,1819,5071,100708.42417005861,1216,1184,1847.142857142857,
2023-01-23,Australia,Expansion Market,1254,941,3062,24181.935909940257,643,611,1234.4285714285713,
2023-01-23,Croatia,Primary Market,2414,1978,4958,61611.245648352706,1106,1308,1328.0,
2023-01-23,England,Primary Market,1558,1211,2679,35868.1973768915,835,723,860.0,
2023-01-23,Germany,Primary Market,2027,1556,4447,54581.1489329536,1000,1027,2227.714285714286,
2023-01-23,Netherlands,Primary Market,1595,1394,3534,49198.848182740614,839,756,1444.0,
2023-01-23,North America,Expansion Market,1346,1130,3341,30524.732486770085,698,648,1798.142857142857,
2023-01-24,Australia,Expansion Market,1164,922,2177,43998.06582298582,558,606,1246.142857142857,
2023-01-24,Croatia,Primary Market,1079,799,2635,39536.9479760021,495,584,1341.2857142857142,
2023-01-24,England,Primary Market,1583,1207,3512,55475.167541634975,907,676,1024.2857142857142,
2023-01-24,Germany,Primary Market,2021,1632,4591,41425.82833503156,1071,950,2130.714285714286,
2023-01-24,Netherlands,Primary Market,672,521,1261,14067.896148273809,346,326,1377.857142857143,
2023-01-24,North America,Expansion Market,2096,1553,4598,78374.67436671478,1015,1081,1900.0,
2023-01-25,Australia,Expansion Market,653,530,1510,25268.68654551604,342,311,1148.7142857142858,
2023-01-25,Croatia,Primary Market,1415,1151,2908,39371.31713871718,778,637,1357.0,
2023-01-25,England,Primary Market,985,807,1969,35852.470298632004,504,481,1045.5714285714287,
2023-01-25,Germany,Primary Market,2418,1917,5147,77370.63499941748,1244,1174,2163.1428571428573,
2023-01-25,Netherlands,Primary Market,1432,1089,3275,62421.55853391178,731,701,1351.4285714285713,
2023-01-25,North America,Expansion Market,1814,1437,3938,52429.88646042863,871,943,1911.5714285714287,
2023-01-26,Australia,Expansion Market,1427,1183,3811,32104.542165122286,788,639,1241.4285714285713,
2023-01-26,Croatia,Primary Market,971,728,1791,27395.071879289324,474,497,1323.5714285714287,
2023-01-26,England,Primary Market,1625,1241,3809,26893.171927052732,712,913,1237.5714285714287,
2023-01-26,Germany,Primary Market,1563,1261,3630,55591.45426075348,756,807,2130.5714285714284,
2023-01-26,Netherlands,Primary Market,1243,1080,2911,35016.52395986751,595,648,1390.7142857142858,
2023-01-26,North America,Expansion Market,1407,1045,3213,32785.262568510196,646,761,1842.142857142857,
2023-01-27,Australia,Expansion Market,1624,1337,3109,56531.17527550086,838,786,1378.7142857142858,
2023-01-27,Croatia,Primary Market,1235,1020,2575,29013.59706255529,557,678,1315.857142857143,
2023-01-27,England,Primary Market,446,392,1054,11766.995311720515,220,226,1251.0,
2023-01-27,Germany,Primary Market,2384,1860,5625,66343.57268043133,1132,1252,2075.4285714285716,
2023-01-27,Netherlands,Primary Market,887,695,2438,34581.36940751979,490,397,1322.142857142857,
2023-01-27,North America,Expansion Market,1477,1154,3738,61572.45490978776,806,671,1804.142857142857,
2023-01-28,Australia,Expansion Market,1050,890,2402,40999.13058216813,538,512,1323.4285714285713,
2023-01-28,Croatia,Primary Market,2690,2204,7070,44716.010319970694,1409,1281,1595.0,
2023-01-28,England,Primary Market,1553,1273,2797,75345.16633623703,876,677,1307.5714285714287,
2023-01-28,Germany,Primary Market,2346,1904,5139,63450.97219958049,1237,1109,2097.8571428571427,
2023-01-28,Netherlands,Primary Market,1436,1125,2737,45341.139665569724,711,725,1230.0,
2023-01-28,North America,Expansion Market,2764,2183,6585,78959.02119178644,1290,1474,1900.5714285714287,
2023-01-29,Australia,Expansion Market,1727,1403,3957,45828.888731443214,857,870,1271.2857142857142,
2023-01-29,Croatia,Primary Market,1993,1623,5583,67175.91051455145,868,1125,1685.2857142857142,
2023-01-29,England,Primary Market,1762,1465,3917,64009.70246996981,1003,759,1358.857142857143,
2023-01-29,Germany,Primary Market,3230,2444,7361,95449.83444521477,1728,1502,2284.1428571428573,
2023-01-29,Netherlands,Primary Market,2258,1727,6178,72552.53329737924,1104,1154,1360.4285714285713,
2023-01-29,North America,Expansion Market,2131,1615,4832,67543.889295151,1040,1091,1862.142857142857,
2023-01-30,Australia,Expansion Market,1229,1016,3174,41005.536455833004,642,587,1267.7142857142858,1391.7
2023-01-30,Croatia,Primary Market,1308,1102,3081,33686.651631923625,696,612,1527.2857142857142,1494.1
2023-01-30,England,Primary Market,264,190,555,9734.886069334543,136,128,1174.0,1008.9333333333333
2023-01-30,Germany,Primary Market,1800,1417,4389,48570.2546444198,874,926,2251.714285714286,2294.4
2023-01-30,Netherlands,Primary Market,1636,1359,3570,54597.2141755174,733,903,1366.2857142857142,1426.3666666666666
2023-01-30,North America,Expansion Market,1154,867,2729,33662.25768945601,574,580,1834.7142857142858,1856.7
2023-01-31,Australia,Expansion Market,1382,1122,2833,38721.12507742284,616,766,1298.857142857143,1403.8666666666666
2023-01-31,Croatia,Primary Market,1714,1404,3472,59594.41884677753,912,802,1618.0,1510.0333333333333
2023-01-31,England,Primary Market,595,459,1520,10026.073939220843,311,284,1032.857142857143,982.3666666666667
2023-01-31,Germany,Primary Market,1388,1056,3108,44454.7615416475,642,746,2161.285714285714,2240.366666666667
2023-01-31,Netherlands,Primary Market,968,704,2568,31880.446712633027,486,482,1408.5714285714287,1404.8
2023-01-31,North America,Expansion Market,1944,1553,4952,42462.056043088225,951,993,1813.0,1823.4333333333334
2023-02-01,Australia,Expansion Market,881,731,2461,16039.549725971323,397,484,1331.4285714285713,1377.9
2023-02-01,Croatia,Primary Market,2118,1641,4254,75394.24014160167,1079,1039,1718.4285714285713,1519.9666666666667
2023-02-01,England,Primary Market,1201,970,2551,42406.867081030854,590,611,1063.7142857142858,1004.3333333333334
2023-02-01,Germany,Primary Market,2023,1609,4930,64492.322077783654,864,1159,2104.8571428571427,2269.6666666666665
2023-02-01,Netherlands,Primary Market,1377,1121,2226,59256.718495867855,735,642,1400.7142857142858,1423.3333333333333
2023-02-01,North America,Expansion Market,1795,1458,4508,56821.67898558441,1001,794,1810.2857142857142,1813.0666666666666
2023-02-02,Australia,Expansion Market,850,658,2004,18375.175986053284,421,429,1249.0,1373.5333333333333
2023-02-02,Croatia,Primary Market,1564,1355,3068,58342.56548503078,846,718,1803.142857142857,1517.2
2023-02-02,England,Primary Market,494,386,845,14742.371296554633,274,220,902.1428571428571,988.6333333333333
2023-02-02,Germany,Primary Market,2133,1594,4890,57363.315484314226,1081,1052,2186.285714285714,2286.366666666667
2023-02-02,Netherlands,Primary Market,1166,968,2773,37832.53946570009,578,588,1389.7142857142858,1423.9333333333334
2023-02-02,North America,Expansion Market,1421,1175,3404,57964.82237946931,697,724,1812.2857142857142,1810.8666666666666
2023-02-03,Australia,Expansion Market,880,739,2090,23868.970893073907,446,434,1142.7142857142858,1355.4333333333334
2023-02-03,Croatia,Primary Market,1201,1005,2580,29868.309121077855,553,648,1798.2857142857142,1517.4333333333334
2023-02-03,England,Primary Market,439,328,980,21315.55381551613,260,179,901.1428571428571,995.0666666666667
2023-02-03,Germany,Primary Market,1864,1474,4014,44564.434189695836,929,935,2112.0,2256.866666666667
2023-02-03,Netherlands,Primary Market,1312,1073,2299,43049.21768800643,690,622,1450.4285714285713,1422.0
2023-02-03,North America,Expansion Market,1148,841,2751,46577.630803773274,536,612,1765.2857142857142,1775.6333333333334
2023-02-04,Australia,Expansion Market,1530,1143,3438,47430.92133286224,704,826,1211.2857142857142,1355.8666666666666
2023-02-04,Croatia,Primary Market,3028,2416,6796,89569.00491771374,1340,1688,1846.5714285714287,1583.5
2023-02-04,England,Primary Market,968,768,2090,34393.526065786704,470,498,817.5714285714286,1010.3333333333334
2023-02-04,Germany,Primary Market,1863,1557,3987,36768.60430051724,883,980,2043.0,2248.733333333333
2023-02-04,Netherlands,Primary Market,1407,1135,3067,33737.868050286124,713,694,1446.2857142857142,1420.2
2023-02-04,North America,Expansion Market,1050,811,2640,23953.205864212898,546,504,1520.4285714285713,1742.7
2023-02-05,Australia,Expansion Market,1393,1115,2898,25984.96170640961,677,716,1163.5714285714287,1345.8666666666666
2023-02-05,Croatia,Primary Market,1449,1097,3249,29919.991116216945,715,734,1768.857142857143,1590.4
2023-02-05,England,Primary Market,1387,1022,3703,22575.488966627767,598,789,764.0,1012.0
2023-02-05,Germany,Primary Market,2821,2318,6583,77072.89770985745,1486,1335,1984.5714285714287,2270.0666666666666
2023-02-05,Netherlands,Primary Market,1759,1326,4464,31801.839028463044,898,861,1375.0,1445.0666666666666
2023-02-05,North America,Expansion Market,1791,1427,4506,76562.61042861761,977,814,1471.857142857143,1758.4
2023-02-06,Australia,Expansion Market,842,720,1415,18833.8365222869,456,386,1108.2857142857142,1285.3
2023-02-06,Croatia,Primary Market,1723,1360,3393,46397.37483476977,911,812,1828.142857142857,1590.3
2023-02-06,England,Primary Market,735,606,1732,23928.44614853084,359,376,831.2857142857143,995.9333333333333
2023-02-06,Germany,Primary Market,1823,1545,4034,74488.88053598124,943,880,1987.857142857143,2253.9
2023-02-06,Netherlands,Primary Market,1392,1073,3075,37891.25629643936,739,653,1340.142857142857,1453.4333333333334
2023-02-06,North America,Expansion Market,2178,1646,4292,73444.96157297122,1160,1018,1618.142857142857,1769.9
2023-02-07,Australia,Expansion Market,1221,1000,2780,16778.501250198395,723,498,1085.2857142857142,1274.0
2023-02-07,Croatia,Primary Market,1382,1037,3300,32665.120179926227,718,664,1780.7142857142858,1583.9333333333334
2023-02-07,England,Primary Market,821,634,2274,18965.786059077927,392,429,863.5714285714286,976.1
2023-02-07,Germany,Primary Market,2559,1989,6177,68562.8378292751,1238,1321,2155.1428571428573,2182.9
2023-02-07,Netherlands,Primary Market,266,216,688,6230.396521132543,119,147,1239.857142857143,1395.5333333333333
2023-02-07,North America,Expansion Market,1872,1489,4583,58312.11340600473,928,944,1607.857142857143,1764.8333333333333
2023-02-08,Australia,Expansion Market,1846,1497,3943,65102.87670790269,926,920,1223.142857142857,1298.4333333333334
2023-02-08,Croatia,Primary Market,797,633,1628,23551.501578467127,372,425,1592.0,1562.3333333333333
2023-02-08,England,Primary Market,750,581,1550,15733.779759376546,401,349,799.1428571428571,968.2666666666667
2023-02-08,Germany,Primary Market,3221,2591,7369,97922.00628123315,1564,1657,2326.285714285714,2231.8333333333335
2023-02-08,Netherlands,Primary Market,977,794,2088,32047.090322833265,530,447,1182.7142857142858,1398.3333333333333
2023-02-08,North America,Expansion Market,1884,1526,3755,44278.30220585705,844,1040,1620.5714285714287,1783.9
2023-02-09,Australia,Expansion Market,569,486,1433,14787.428983085461,299,270,1183.0,1269.7
2023-02-09,Croatia,Primary Market,637,541,1211,22208.276304769868,352,285,1459.5714285714287,1531.3666666666666
2023-02-09,England,Primary Market,1004,833,2377,38317.15468762105,480,524,872.0,976.1
2023-02-09,Germany,Primary Market,1793,1418,3297,40925.54099369809,855,938,2277.714285714286,2231.0
2023-02-09,Netherlands,Primary Market,1190,898,2695,27098.344275138792,612,578,1186.142857142857,1390.0666666666666
2023-02-09,North America,Expansion Market,1608,1289,4268,44382.02094118063,744,864,1647.2857142857142,1784.6333333333334
2023-02-10,Australia,Expansion Market,709,532,1949,28000.73759201381,312,397,1158.5714285714287,1273.5333333333333
2023-02-10,Croatia,Primary Market,1284,1007,3104,39232.16504472206,523,761,1471.4285714285713,1525.7333333333333
2023-02-10,England,Primary Market,1204,942,2667,37889.88256239055,507,697,981.2857142857143,984.7666666666667
2023-02-10,Germany,Primary Market,1649,1354,3262,38246.20945180271,802,847,2247.0,2233.8333333333335
2023-02-10,Netherlands,Primary Market,993,774,2283,32250.153809318363,445,548,1140.5714285714287,1383.5333333333333
2023-02-10,North America,Expansion Market,1612,1242,3508,39628.33743757867,773,839,1713.5714285714287,1775.0666666666666
2023-02-11,Australia,Expansion Market,1478,1094,3437,69638.75660753492,760,718,1151.142857142857,1275.3
2023-02-11,Croatia,Primary Market,1321,1095,3106,21570.62800443233,570,751,1227.5714285714287,1516.9666666666667
2023-02-11,England,Primary Market,1113,960,2312,28222.900263280106,648,465,1002.0,988.3333333333334
2023-02-11,Germany,Primary Market,2204,1703,3803,73911.67970359909,1111,1093,2295.714285714286,2259.7
2023-02-11,Netherlands,Primary Market,1983,1698,4121,59351.53154208735,956,1027,1222.857142857143,1381.0
2023-02-11,North America,Expansion Market,2781,2184,5465,111760.1455529877,1412,1369,1960.857142857143,1845.4666666666667
2023-02-12,Australia,Expansion Market,1931,1590,4374,24300.327668889156,902,1029,1228.0,1292.4333333333334
2023-02-12,Croatia,Primary Market,2890,2171,5823,74232.58262139269,1407,1483,1433.4285714285713,1574.2
2023-02-12,England,Primary Market,1349,1053,3447,34073.47805508258,665,684,996.5714285714286,1010.5333333333333
2023-02-12,Germany,Primary Market,4135,3232,10314,127695.51095646087,1836,2299,2483.4285714285716,2319.233333333333
2023-02-12,Netherlands,Primary Market,1264,1031,3079,29788.86238291431,609,655,1152.142857142857,1388.8333333333333
2023-02-12,North America,Expansion Market,1288,992,2692,34898.88069444448,697,591,1889.0,1819.1333333333334
2023-02-13,Australia,Expansion Market,916,735,2267,32758.767440008927,471,445,1238.5714285714287,1245.1333333333334
2023-02-13,Croatia,Primary Market,1231,945,2915,32309.260507062747,661,570,1363.142857142857,1528.9
2023-02-13,England,Primary Market,1043,872,2477,44516.468841723625,444,599,1040.5714285714287,988.5666666666667
2023-02-13,Germany,Primary Market,2465,1976,5907,66297.62148714182,1144,1321,2575.1428571428573,2334.633333333333
2023-02-13,Netherlands,Primary Market,916,691,2233,22262.570841003937,444,472,1084.142857142857,1387.0666666666666
2023-02-13,North America,Expansion Market,1490,1131,2844,56737.65732601992,726,764,1790.7142857142858,1771.9666666666667
2023-02-14,Australia,Expansion Market,1099,931,2077,42621.65383141206,589,510,1221.142857142857,1208.3333333333333
2023-02-14,Croatia,Primary Market,868,706,1860,32467.053653503608,435,433,1289.7142857142858,1463.9666666666667
2023-02-14,England,Primary Market,448,364,816,13137.91747424424,212,236,987.2857142857143,939.1
2023-02-14,Germany,Primary Market,1198,938,3377,46676.87940920806,664,534,2380.714285714286,2236.233333333333
2023-02-14,Netherlands,Primary Market,947,800,2141,33969.988829594426,443,504,1181.4285714285713,1322.1
2023-02-14,North America,Expansion Market,1413,1139,2953,45552.875386364176,722,691,1725.142857142857,1746.4666666666667
2023-02-15,Australia,Expansion Market,2063,1684,4257,70751.85292950583,1009,1054,1252.142857142857,1236.8333333333333
2023-02-15,Croatia,Primary Market,1394,1096,2774,33246.4087211731,765,629,1375.0,1486.2666666666667
2023-02-15,England,Primary Market,1281,1001,3668,54242.12472393388,652,629,1063.142857142857,969.0
2023-02-15,Germany,Primary Market,1615,1314,3555,50475.85930278504,749,866,2151.285714285714,2203.6666666666665
2023-02-15,Netherlands,Primary Market,1925,1614,3487,34711.311093999204,883,1042,1316.857142857143,1317.1333333333334
2023-02-15,North America,Expansion Market,2232,1795,5061,74515.09238444747,1085,1147,1774.857142857143,1764.5666666666666
2023-02-16,Australia,Expansion Market,859,649,1973,36494.1463981874,461,398,1293.5714285714287,1229.4
2023-02-16,Croatia,Primary Market,1521,1113,2791,41801.68724852866,730,791,1501.2857142857142,1504.1
2023-02-16,England,Primary Market,1287,1126,3092,45156.41640808647,707,580,1103.5714285714287,997.4666666666667
2023-02-16,Germany,Primary Market,3371,2793,7020,102955.64495727117,1603,1768,2376.714285714286,2226.0333333333333
2023-02-16,Netherlands,Primary Market,1689,1404,4570,63311.4990546343,823,866,1388.142857142857,1335.6
2023-02-16,North America,Expansion Market,1016,794,2628,25122.09874203673,497,519,1690.2857142857142,1752.3333333333333
2023-02-17,Australia,Expansion Market,2144,1743,4667,76309.52956208774,1079,1065,1498.5714285714287,1256.3666666666666
2023-02-17,Croatia,Primary Market,1044,837,1903,20650.34782634397,539,505,1467.0,1495.4
